Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
bsc,2.1.5,-b1p -m1f,,5,18,1 074 393 764,32.6,82.11,384,86.14,390,2m 48s,111,210/17,372,497/253,1,2/0,1 074 172 791,27,24
csc,3.2a5,-m1 -d320,½*,2,7,887 547 613,26.9,222.01,100,92.62,100,5m 15s,475,621/126,371,343/438,42,55/11,887 495 260,389,325
bsc,2.2.0,-b1p -m1f,*,3,15,1 074 265 522,32.6,81.97,385,86.61,390,2m 49s,111,211/17,371,498/252,1,2/0,1 074 175 954,27,24
csc,3.2a5,-m2 -d320,*,3,5,860 668 014,26.1,257.86,100,90.28,100,5m 48s,579,720/174,366,323/492,69,86/21,860 615 661,390,325
bsc,2.2.5,-b1 -m0f -pr,,6,14,1 064 871 541,32.3,98.39,388,80.61,388,2m 59s,116,195/20,361,428/279,1,2/0,1 064 780 856,26,24
winrar,4.20b3,-m3,½,4,6,923 642 139,28,235.41,244,53.2,97,4m 49s,347,392/147,358,286/677,21,23/9,923 461 749,106,9
nanozip,0.09a,-m.5g -co,*****,0,0,735 353 979,22.3,456.03,374,90.87,335,9m  7s,1483,1640/695,354,277/742,712,787/334,735 231 099,515,349
winrar,4.20b3,-m1,½,4,13,1 199 695 894,36.4,64.44,196,52.36,97,1m 57s,40,67/7,353,417/274,0,0/0,1 199 515 504,78,8
csc,3.2a3,-m0 -d9,*,3,6,880 171 847,26.7,249.69,100,89.06,100,5m 39s,479,599/142,353,312/467,46,58/14,880 082 332,358,325
csc,3.2a3,-m1 -d9,½,4,5,867 212 986,26.3,270.5,100,88.83,100,5m 59s,521,639/164,347,301/489,58,71/18,867 123 471,358,325
bsc,2.4.5,-b25 -m1f -p,**,1,15,1 036 287 377,31.4,80.4,366,124.2,366,3m 25s,140,328/18,347,576/199,2,6/0,1 036 196 692,505,505
freearc,0.6,-m1,*,3,13,1 175 319 969,35.6,56.05,127,73.53,99,2m 10s,47,100/6,345,520/212,0,0/0,1 175 246 241,43,27
bsc,2.3.0,-b25 -m1f -p,½*,2,16,1 036 287 377,31.4,80.7,367,127,366,3m 28s,138,327/18,342,574/195,2,6/0,1 036 196 692,505,505
nanozip,0.07a,-m.5g -cf,½*,2,15,1 277 723 795,38.7,34.52,124,58.61,114,1m 33s,21,52/3,341,600/189,0,0/0,1 277 606 500,520,520
tornado,0.4a,-5,,8,9,1 048 861 771,31.8,156.08,100,44.14,100,3m 20s,124,147/44,340,285/537,2,2/1,1 048 816 875,34,18
